        x             y             z
----------------------------------------------------
     2.33725054    0.83223725    3.46172706
     0.86045221   -1.11784106   -3.98713660
    -2.67607190    0.95339716    2.31899598
     3.05476295    1.56994782   -2.73884653
    -0.69117063   -3.97110851   -1.58696983
    -2.73195063   -3.82033952    1.57305799
     0.97011257    2.01574142    1.23442334
     1.83245224    1.14727561    1.96358309
    -3.63824823    0.56440112   -0.85501332
    -1.92566747   -1.84604600   -3.12413093
     2.30676326   -0.82479670   -0.33165274
    -2.54718975   -3.68755015   -0.64239090
     1.36136466    2.82676576    0.89927628
     1.36016984   -1.63178850   -1.45117086
     3.55534659    0.04938243   -1.97664939
    -0.42802989    3.51393567    2.90294823
     0.86155057   -1.79055965   -3.21346405
     3.19681557   -1.86291440   -0.56146003
    -2.06477530   -3.48092913   -2.07919572
    -1.63615061   -2.59681371    3.42233880
     1.07434148   -1.45617486    1.33508129
     3.14281836   -1.89543401    3.11179356
     2.37183333    0.80701889   -3.50699548
    -2.80160088   -0.57283032    1.76936385
    -3.74935946    1.89277303   -2.02815927
    -3.45730323   -3.38381026    0.82846907
    -1.30377626    0.82670039    0.37249206
    -1.86053770   -1.89693443    2.63885597
    -1.28388462   -3.78308230   -3.33822849
     3.34483259    3.16113431    1.94949841
     1.31576953    1.84912874    2.11209314
     2.91151324    1.10978385    1.48579786
    -1.60510159   -0.52034982   -2.34799537
     0.83651438   -3.74070598   -2.59423706
    -3.50904166    0.00064607    1.48029528
     3.68767072   -1.75946602   -1.21842771
     1.31319321    1.04933619   -2.05645555
     2.73095887   -3.24825099    1.60625155
    -1.70739264   -0.81400548    3.19581392
     0.20895070    1.05449140   -2.09676193
     1.67687546   -3.55243466    2.51382210
    -1.09278248    1.14051039   -1.85406590
     3.49958271    2.15680750   -3.94235149
    -0.83072247   -2.46948336   -3.66742047
    -3.57160566   -2.51396578   -1.29004089
    -1.31420716    2.57212043   -0.99849432
    -3.67537119   -2.15543524    2.44972131
    -1.88649830    1.15469579    2.62381679
     3.67684652    2.11740027   -2.57927580
     1.38358694   -0.43132303    2.90139158
     1.92130624    2.26479705    3.05710640
    -2.19954457   -1.92167199   -1.61791800
     3.02713953   -0.61629170    3.40764595
    -1.64108267    0.60426081   -0.75825632
    -3.74468941   -2.72867962    3.21873473
     0.21276833   -2.09309758    1.72665182
     0.93046625   -1.00261963   -1.16618025
    -0.39968273    2.14949100   -3.23364463
    -0.82155800   -0.67108860   -3.43037391
    -1.01958196    0.35869066   -3.89362747
     3.48755655    2.19783927    0.50279068
    -2.92665014   -0.90772037   -2.05265250
     0.09274100    2.01300934   -1.27188734
